page,subject,pathway,tier,block,rule,severity,evidence
physics/electricity/series-parallel-circuits,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/changes-in-energy,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/changes-in-energy,physics,combined,higher,fifa,2-example-count,major,2 worked example(s) — minimum 3
physics/energy/changes-in-energy,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/changes-in-energy,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""In Ek = ½mv², SQUARE THE SPEED FIRST before multiplying."""
physics/energy/changes-in-energy,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/changes-in-energy,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/changes-in-energy,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/efficiency,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/efficiency,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/energy/efficiency,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/efficiency,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Efficiency = useful output ÷ TOTAL INPUT — not useful ÷ wasted."""
physics/energy/efficiency,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/efficiency,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/efficiency,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/energy-changes-in-systems,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/energy-changes-in-systems,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/energy/energy-changes-in-systems,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/energy-changes-in-systems,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Temperature change (Δθ) is final temperature MINUS initial temperature — not the final tem"""
physics/energy/energy-changes-in-systems,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/energy-changes-in-systems,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/energy-changes-in-systems,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/acceleration,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/acceleration,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/acceleration,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/acceleration,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Gradient of a v–t graph = ACCELERATION (not distance or speed)."""
physics/forces/acceleration,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/acceleration,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/acceleration,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/distance-speed-velocity,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/distance-speed-velocity,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/distance-speed-velocity,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/distance-speed-velocity,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Speed is scalar (magnitude only)."""
physics/forces/distance-speed-velocity,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/distance-speed-velocity,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/distance-speed-velocity,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/distance-time-graphs,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/distance-time-graphs,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/distance-time-graphs,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/distance-time-graphs,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""A FLAT (horizontal) section means the object is STATIONARY — not moving at constant speed."""
physics/forces/distance-time-graphs,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/distance-time-graphs,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/distance-time-graphs,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/forces-elasticity,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/forces-elasticity,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/forces-elasticity,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/forces-elasticity,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Extension (e) is NOT the total length of the spring — it is the INCREASE in length from th"""
physics/forces/forces-elasticity,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/forces-elasticity,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/forces-elasticity,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/gravity,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/gravity,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/gravity,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/gravity,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Mass and weight are DIFFERENT things."""
physics/forces/gravity,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/gravity,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/gravity,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/newtons-laws,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/newtons-laws,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/newtons-laws,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/newtons-laws,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Newton's Third Law pairs act on DIFFERENT objects — they cannot cancel."""
physics/forces/newtons-laws,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/newtons-laws,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/newtons-laws,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/stopping-distance-braking,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/stopping-distance-braking,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/stopping-distance-braking,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/stopping-distance-braking,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Braking distance ∝ v² — doubling speed QUADRUPLES braking distance (not doubles)."""
physics/forces/stopping-distance-braking,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/stopping-distance-braking,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/stopping-distance-braking,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/work-done-energy-transfer,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/work-done-energy-transfer,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/work-done-energy-transfer,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/work-done-energy-transfer,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Work is only done when the object moves IN THE DIRECTION of the force."""
physics/forces/work-done-energy-transfer,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/work-done-energy-transfer,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/work-done-energy-transfer,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/particle-model/density-of-materials,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/particle-model/density-of-materials,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/particle-model/density-of-materials,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/particle-model/density-of-materials,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Units for density are kg/m³ (SI) or g/cm³ (also common)."""
physics/particle-model/density-of-materials,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/particle-model/density-of-materials,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/particle-model/density-of-materials,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/particle-model/particle-motion-pressure,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/particle-model/particle-motion-pressure,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/particle-model/particle-motion-pressure,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/particle-model/particle-motion-pressure,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Temperature in gas law calculations MUST be in KELVIN — not Celsius."""
physics/particle-model/particle-motion-pressure,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/particle-model/particle-motion-pressure,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/particle-model/particle-motion-pressure,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/particle-model/specific-latent-heat,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/particle-model/specific-latent-heat,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/particle-model/specific-latent-heat,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/particle-model/specific-latent-heat,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""During a change of state, temperature does NOT change — the flat sections on a heating cur"""
physics/particle-model/specific-latent-heat,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/particle-model/specific-latent-heat,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/particle-model/specific-latent-heat,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/particle-model/temperature-changes-shc,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/particle-model/temperature-changes-shc,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/particle-model/temperature-changes-shc,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/particle-model/temperature-changes-shc,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Δθ is FINAL minus INITIAL temperature — not the final temperature alone."""
physics/particle-model/temperature-changes-shc,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/particle-model/temperature-changes-shc,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/particle-model/temperature-changes-shc,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/waves/properties-of-waves,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/waves/properties-of-waves,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/waves/properties-of-waves,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/waves/properties-of-waves,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Amplitude is the distance from the equilibrium (centre) to the crest — NOT from crest to t"""
physics/waves/properties-of-waves,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/waves/properties-of-waves,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/waves/properties-of-waves,physics,combined,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
biology/ecology/sampling-techniques,biology,triple,higher,quiz,1-count,critical,3 questions — below absolute floor of 5
biology/ecology/sampling-techniques,biology,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/ecology/sampling-techniques,biology,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/ecology/sampling-techniques,biology,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
biology/ecology/sampling-techniques,biology,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
biology/ecology/sampling-techniques,biology,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/chemical-changes/titrations,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/chemical-changes/titrations,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/chemical-changes/titrations,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/chemical-changes/titrations,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Only concordant results (within 0.10 cm³) are used for the mean titre — rough runs and out"""
chemistry/chemical-changes/titrations,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/chemical-changes/titrations,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
biology/homeostasis/reaction-time,biology,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
biology/homeostasis/reaction-time,biology,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/homeostasis/reaction-time,biology,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/homeostasis/reaction-time,biology,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""When calculating reaction time from the ruler drop test — distance must be in METRES (not """
biology/homeostasis/reaction-time,biology,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
biology/homeostasis/reaction-time,biology,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/power,physics,combined,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/power,physics,combined,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/energy/power,physics,combined,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/power,physics,combined,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Time MUST be in SECONDS when using P = E/t with energy in joules."""
physics/energy/power,physics,combined,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/power,physics,combined,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/chemical-changes/half-equations,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/chemical-changes/half-equations,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/chemical-changes/half-equations,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/chemical-changes/half-equations,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Electrons are written on the LEFT of cathode half equations (gained) and on the RIGHT of a"""
chemistry/chemical-changes/half-equations,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/chemical-changes/half-equations,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""ΔH = energy IN (breaking) MINUS energy OUT (forming)."""
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/energy-changes/bond-energy-calculations,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Always use the MOLAR RATIO from the balanced equation when converting between moles of dif"""
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/amounts-in-equations,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/moles,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/moles,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/moles,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/moles,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Make sure mass is in GRAMS before dividing by Mr."""
chemistry/quantitative/moles,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/moles,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""The LIMITING REACTANT is the one that runs out — not the one in smaller quantity."""
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/using-moles-calculations,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/momentum,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/momentum,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/momentum,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/momentum,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Momentum is a VECTOR — direction matters."""
physics/forces/momentum,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/forces/momentum,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Fleming's LEFT-hand rule is for MOTORS (force on current in a field)."""
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/magnetism/flemings-left-hand-rule,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,quiz,1-count,critical,3 questions — below absolute floor of 5
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""INSULIN lowers blood glucose by promoting GLYCOGEN STORAGE (glucose → glycogen)."""
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
biology/inheritance/genetic-inheritance,biology,triple,foundation,quiz,1-count,critical,3 questions — below absolute floor of 5
biology/inheritance/genetic-inheritance,biology,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/inheritance/genetic-inheritance,biology,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/inheritance/genetic-inheritance,biology,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""A CARRIER (Bb) has the recessive allele but does NOT show the condition — they appear comp"""
biology/inheritance/genetic-inheritance,biology,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
biology/inheritance/genetic-inheritance,biology,triple,foundation,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
biology/inheritance/inherited-disorders,biology,triple,foundation,quiz,1-count,critical,2 questions — below absolute floor of 5
biology/inheritance/inherited-disorders,biology,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/inheritance/inherited-disorders,biology,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/inheritance/inherited-disorders,biology,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Cystic fibrosis is RECESSIVE — both parents can be unaffected carriers."""
biology/inheritance/inherited-disorders,biology,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
biology/inheritance/inherited-disorders,biology,triple,foundation,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/analysis/chromatography,chemistry,triple,foundation,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/analysis/chromatography,chemistry,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/analysis/chromatography,chemistry,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/analysis/chromatography,chemistry,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Rf values are ALWAYS between 0 and 1."""
chemistry/analysis/chromatography,chemistry,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/analysis/chromatography,chemistry,triple,foundation,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,quiz,1-count,critical,3 questions — below absolute floor of 5
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Filtration only removes INSOLUBLE solids."""
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/atomic-structure/mixtures,chemistry,triple,foundation,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Ar is a WEIGHTED average — not a simple average."""
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,quiz,1-triple-depth,major,Test Yourself identical to Combined foundation — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,foundation,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,foundation,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,foundation,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,foundation,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
